Metric;Occurrences;mean_Ranked;mean_Optimal_n
text_entropy;54;4.19;15.85
num_tokens;49;4.33;15.85
lines_code;47;5.28;15.85
num_keys;46;5.76;15.85
avg_task_size;45;8.8;15.85
lines_blank;45;6.89;15.85
num_parameters;45;8.51;15.85
num_distinct_modules;42;7.6;15.85
num_conditions;41;10.88;15.85
num_decisions;40;14.62;15.85
num_filters;40;16.57;15.85
num_loops;40;13.8;15.85
num_unique_names;40;9.0;15.85
num_tasks;39;9.28;15.85
lines_comment;38;15.42;15.85
num_commands;36;18.86;15.85
num_paths;35;20.86;15.85
num_vars;35;18.94;15.85
num_external_modules;33;20.39;15.85
num_names_with_vars;33;19.76;15.85
num_file_mode;30;29.3;15.85
num_file_modules;30;33.17;15.85
num_include;30;37.63;15.85
num_blocks;26;33.35;15.85
num_deprecated_keywords;26;44.0;15.85
num_include_vars;21;55.1;15.85
num_regex;21;68.67;15.85
num_suspicious_comments;21;69.81;15.85
num_block_error_handling;20;55.95;15.85
num_include_tasks;20;63.3;15.85
num_authorized_key;19;65.21;15.85
num_ignore_errors;18;77.83;15.85
num_lookups;18;77.0;15.85
num_import_tasks;15;116.93;15.85
num_roles;15;101.4;15.85
num_deprecated_modules;13;120.69;15.85
num_fact_modules;13;121.62;15.85
num_file_exists;13;124.46;15.85
num_include_role;12;137.92;15.85
num_plays;11;151.27;15.85
num_math_operations;9;181.78;15.85
num_prompts;9;179.67;15.85
num_import_playbook;3;696.33;15.85
avg_play_size;1;2349.0;15.85
num_import_role;1;2259.0;15.85
