repository,naive_bayes,logistic,svc,decision_tree,random_forest
PyratLabs/ansible-role-k3s,0.19,0.14,0.23,0.34,0.34
anthcourtney/ansible-role-cis-amazon-linux,-0.0,0.0,0.0,0.41,0.41
ansible-ThoTeam/nexus3-oss,0.23,0.13,0.51,0.71,0.7
automium/service-kubernetes,0.21,0.0,0.01,0.48,0.47
oVirt/ovirt-ansible-hosted-engine-setup,0.04,0.0,0.1,0.78,0.78
riemers/ansible-gitlab-runner,0.1,0.03,0.23,0.61,0.61
ansistrano/deploy,0.1,0.31,0.48,0.49,0.48
elastic/ansible-elasticsearch,0.29,0.21,0.55,0.78,0.79
sensu/sensu-ansible,0.02,0.0,0.03,0.07,0.07
cloudalchemy/ansible-grafana,0.21,0.24,0.34,0.72,0.71
openstack/openstack-ansible-os_nova,0.22,0.09,0.36,0.6,0.55
CSCfi/ansible-role-slurm,0.6,0.15,0.66,0.92,0.93
openwisp/ansible-openwisp2,0.4,0.33,0.57,0.69,0.69
cloudalchemy/ansible-prometheus,0.59,0.66,0.75,0.91,0.9
ANXS/postgresql,0.17,0.1,0.31,0.83,0.83
openstack/openstack-ansible-rabbitmq_server,0.21,0.05,0.13,0.7,0.73
galaxyproject/ansible-galaxy,0.47,0.31,0.37,0.67,0.7
Oefenweb/ansible-percona-server,-0.02,0.04,0.39,0.91,0.91
UnderGreen/ansible-role-mongodb,0.56,0.68,0.71,0.77,0.75
ansible-community/ansible-nomad,0.64,0.3,0.57,0.89,0.89
openstack/openstack-ansible-os_neutron,0.13,-0.0,0.0,0.79,0.79
AlbanAndrieu/ansible-jenkins-slave,0.14,0.24,0.18,0.29,0.38
CoffeeITWorks/ansible_burp2_server,0.42,0.45,0.53,0.74,0.72
DataDog/ansible-datadog,0.55,0.47,0.5,0.73,0.8
oVirt/ovirt-ansible-disaster-recovery,0.2,-0.0,0.0,0.73,0.72
stackbuilders/sb-debian-base,0.5,0.0,0.26,0.29,0.26
evrardjp/ansible-keepalived,0.82,0.81,0.85,0.93,0.92
cloudalchemy/ansible-node-exporter,0.76,0.6,0.77,0.86,0.85
HanXHX/ansible-nginx,0.18,0.27,0.46,0.65,0.62
viasite-ansible/ansible-role-zsh,0.26,0.52,0.56,0.81,0.78
lae/ansible-role-proxmox,0.53,0.07,0.35,0.56,0.62
HanXHX/ansible-debian-bootstrap,0.7,-0.01,0.79,0.76,0.78
nusenu/ansible-relayor,0.64,0.0,0.48,0.86,0.85
DavidWittman/ansible-redis,0.66,-0.08,0.59,0.74,0.75
cloudalchemy/ansible-alertmanager,0.46,0.3,0.49,0.63,0.64
aalaesar/install_nextcloud,0.28,0.39,0.38,0.48,0.41
Oefenweb/ansible-postfix,0.88,0.9,0.94,0.97,0.97
caktus/tequila-django,0.68,0.37,0.74,0.91,0.94
ansible-community/ansible-vault,0.56,0.22,0.56,0.85,0.89
florianutz/Ubuntu1804-CIS,0.25,0.29,0.44,0.65,0.65
dj-wasabi/ansible-telegraf,0.59,0.49,0.58,0.53,0.58
rvm/rvm1-ansible,0.04,0.09,0.3,0.54,0.59
cloudalchemy/ansible-blackbox-exporter,1.0,1.0,1.0,1.0,1.0
tulibraries/ansible-role-airflow,0.07,0.0,0.0,0.0,0.0
idealista/mysql_role,1.0,0.0,0.12,1.0,1.0
Graylog2/graylog-ansible-role,0.2,0.0,0.0,-0.03,0.19
mrlesmithjr/ansible-netdata,0.28,0.0,0.28,0.76,0.59
willshersystems/ansible-sshd,0.93,0.89,0.93,1.0,0.98
idealista/consul_role,0.86,0.0,0.86,0.86,0.86
ansible-lockdown/RHEL7-STIG,0.42,0.1,0.57,0.7,0.69
stone-payments/ansible-rabbitmq,1.0,0.0,0.17,1.0,1.0
naftulikay/ansible-role-degoss,0.31,0.31,0.31,0.53,0.53
CSCfi/ansible-role-users,1.0,1.0,1.0,1.0,1.0
mrlesmithjr/ansible-manage-lvm,0.09,-0.05,0.12,0.13,0.13
cloudalchemy/ansible-pushgateway,1.0,0.0,0.0,0.95,1.0
antoiner77/caddy-ansible,0.6,0.56,0.6,0.53,0.57
idealista/nexus-role,0.13,0.0,0.0,0.0,0.0
Oefenweb/ansible-supervisor,0.71,0.77,0.65,0.88,0.88
kibatic/ansible-traefik,0.31,0.12,0.04,0.35,0.38
arillso/ansible.logrotate,0.04,-0.08,0.0,0.17,0.08
m4rcu5nl/ansible-role-zerotier,0.33,0.33,1.0,1.0,1.0
fgci-org/ansible-role-cuda,0.55,-0.04,-0.04,-0.04,0.33
dokku/ansible-dokku,0.65,1.0,0.91,0.84,0.84
linux-system-roles/storage,0.0,0.0,0.0,0.0,0.0
florianutz/Ubuntu1604-CIS,0.41,0.05,0.41,0.57,0.57
idealista/java_role,0.71,-0.05,0.71,0.94,1.0
diodonfrost/ansible-role-mariadb,1.0,0.0,0.0,1.0,1.0
newrelic/infrastructure-agent-ansible,0.71,0.95,0.88,0.95,0.95
elastic/ansible-beats,0.45,0.15,0.0,0.5,0.43
wcm-io-devops/ansible-conga-ansible-controlhost,-0.16,0.0,0.0,0.53,0.68
stackhpc/ansible-role-os-images,1.0,1.0,1.0,1.0,1.0
infOpen/ansible-role-docker,-0.06,0.0,0.0,-0.06,0.0
stackhpc/ansible-role-libvirt-vm,0.22,0.0,0.0,0.0,0.0
nwoetzel/ansible-role-eclipse,0.0,0.0,0.0,0.67,0.67
mimacom/ansible-role-bamboo,0.5,0.5,1.0,0.83,0.83
AlexeySetevoi/ansible-clickhouse,1.0,0.0,1.0,1.0,1.0
hadret/ansible-role-containers,0.12,0.12,0.12,0.12,0.12
infOpen/ansible-role-fail2ban,1.0,1.0,1.0,1.0,1.0
cloudalchemy/ansible-smokeping_prober,0.0,0.0,0.0,0.0,0.0
galaxyproject/ansible-galaxy-tools,0.0,0.0,0.0,0.0,0.0
