Repository,Best Model,AUC-PR
PyratLabs/ansible-role-k3s,decision_tree,0.39
anthcourtney/ansible-role-cis-amazon-linux,random_forest,0.42
ansible-ThoTeam/nexus3-oss,svc,0.66
automium/service-kubernetes,random_forest,0.6
oVirt/ovirt-ansible-hosted-engine-setup,random_forest,0.81
riemers/ansible-gitlab-runner,random_forest,0.8
ansistrano/deploy,logistic,0.57
elastic/ansible-elasticsearch,random_forest,0.92
sensu/sensu-ansible,svc,0.42
cloudalchemy/ansible-grafana,random_forest,0.9
openstack/openstack-ansible-os_nova,random_forest,0.69
CSCfi/ansible-role-slurm,"svc,random_forest",1.0
openwisp/ansible-openwisp2,random_forest,0.86
cloudalchemy/ansible-prometheus,random_forest,0.98
ANXS/postgresql,random_forest,0.96
openstack/openstack-ansible-rabbitmq_server,random_forest,0.9
galaxyproject/ansible-galaxy,random_forest,0.9
Oefenweb/ansible-percona-server,logistic,0.97
UnderGreen/ansible-role-mongodb,random_forest,0.92
ansible-community/ansible-nomad,random_forest,0.95
openstack/openstack-ansible-os_neutron,random_forest,0.89
AlbanAndrieu/ansible-jenkins-slave,random_forest,0.7
CoffeeITWorks/ansible_burp2_server,random_forest,0.86
DataDog/ansible-datadog,random_forest,0.91
oVirt/ovirt-ansible-disaster-recovery,random_forest,0.78
stackbuilders/sb-debian-base,logistic,0.39
evrardjp/ansible-keepalived,svc,0.99
cloudalchemy/ansible-node-exporter,logistic,0.95
HanXHX/ansible-nginx,decision_tree,0.82
viasite-ansible/ansible-role-zsh,random_forest,0.95
lae/ansible-role-proxmox,random_forest,0.76
HanXHX/ansible-debian-bootstrap,naive_bayes,0.9
nusenu/ansible-relayor,random_forest,0.95
DavidWittman/ansible-redis,random_forest,0.94
cloudalchemy/ansible-alertmanager,svc,0.94
aalaesar/install_nextcloud,logistic,0.7
Oefenweb/ansible-postfix,svc,1.0
caktus/tequila-django,svc,1.0
ansible-community/ansible-vault,random_forest,1.0
florianutz/Ubuntu1804-CIS,svc,0.87
dj-wasabi/ansible-telegraf,naive_bayes,0.87
rvm/rvm1-ansible,"logistic,decision_tree",0.87
cloudalchemy/ansible-blackbox-exporter,"naive_bayes,logistic,svc,decision_tree,random_forest",1.0
tulibraries/ansible-role-airflow,logistic,0.12
idealista/mysql_role,"svc,decision_tree,random_forest",1.0
Graylog2/graylog-ansible-role,logistic,0.45
mrlesmithjr/ansible-netdata,random_forest,0.92
willshersystems/ansible-sshd,"logistic,svc,decision_tree,random_forest",1.0
idealista/consul_role,"logistic,svc,decision_tree,random_forest",1.0
ansible-lockdown/RHEL7-STIG,svc,1.0
stone-payments/ansible-rabbitmq,"naive_bayes,logistic,svc,decision_tree,random_forest",1.0
naftulikay/ansible-role-degoss,"decision_tree,random_forest",0.9
CSCfi/ansible-role-users,"naive_bayes,logistic,svc,decision_tree,random_forest",1.0
mrlesmithjr/ansible-manage-lvm,svc,0.63
cloudalchemy/ansible-pushgateway,"naive_bayes,svc,decision_tree,random_forest",1.0
antoiner77/caddy-ansible,logistic,0.77
idealista/nexus-role,"naive_bayes,logistic,svc,decision_tree,random_forest",0.06
Oefenweb/ansible-supervisor,"logistic,svc",0.96
kibatic/ansible-traefik,random_forest,0.81
arillso/ansible.logrotate,"naive_bayes,logistic,svc,decision_tree,random_forest",0.65
m4rcu5nl/ansible-role-zerotier,"logistic,svc,decision_tree,random_forest",1.0
fgci-org/ansible-role-cuda,svc,0.5
dokku/ansible-dokku,"logistic,random_forest",1.0
linux-system-roles/storage,"naive_bayes,logistic,svc,decision_tree,random_forest",0.2
florianutz/Ubuntu1604-CIS,logistic,1.0
idealista/java_role,"logistic,svc,decision_tree,random_forest",1.0
diodonfrost/ansible-role-mariadb,"naive_bayes,logistic,svc,decision_tree,random_forest",1.0
newrelic/infrastructure-agent-ansible,"logistic,svc",0.98
elastic/ansible-beats,"svc,random_forest",0.79
wcm-io-devops/ansible-conga-ansible-controlhost,"logistic,svc",1.0
stackhpc/ansible-role-os-images,"naive_bayes,logistic,svc,decision_tree,random_forest",1.0
infOpen/ansible-role-docker,"logistic,svc,decision_tree,random_forest",0.11
stackhpc/ansible-role-libvirt-vm,svc,0.35
nwoetzel/ansible-role-eclipse,"naive_bayes,logistic,svc,decision_tree,random_forest",0.67
mimacom/ansible-role-bamboo,"logistic,svc,decision_tree,random_forest",1.0
AlexeySetevoi/ansible-clickhouse,"naive_bayes,logistic,svc,decision_tree,random_forest",1.0
hadret/ansible-role-containers,"logistic,svc,decision_tree,random_forest",0.58
infOpen/ansible-role-fail2ban,"naive_bayes,logistic,svc,decision_tree,random_forest",1.0
