Repository,Best Model,MCC
PyratLabs/ansible-role-k3s,decision_tree,0.35
anthcourtney/ansible-role-cis-amazon-linux,decision_tree,0.45
ansible-ThoTeam/nexus3-oss,random_forest,0.71
automium/service-kubernetes,decision_tree,0.5
oVirt/ovirt-ansible-hosted-engine-setup,random_forest,0.8
riemers/ansible-gitlab-runner,decision_tree,0.67
ansistrano/deploy,random_forest,0.5
elastic/ansible-elasticsearch,random_forest,0.8
sensu/sensu-ansible,"logistic,svc,decision_tree",0.09
cloudalchemy/ansible-grafana,random_forest,0.72
openstack/openstack-ansible-os_nova,random_forest,0.59
CSCfi/ansible-role-slurm,decision_tree,0.94
openwisp/ansible-openwisp2,decision_tree,0.61
cloudalchemy/ansible-prometheus,random_forest,0.89
ANXS/postgresql,decision_tree,0.85
openstack/openstack-ansible-rabbitmq_server,svc,0.77
galaxyproject/ansible-galaxy,decision_tree,0.72
Oefenweb/ansible-percona-server,logistic,0.92
UnderGreen/ansible-role-mongodb,random_forest,0.79
ansible-community/ansible-nomad,decision_tree,0.92
openstack/openstack-ansible-os_neutron,random_forest,0.81
AlbanAndrieu/ansible-jenkins-slave,decision_tree,0.44
CoffeeITWorks/ansible_burp2_server,decision_tree,0.76
DataDog/ansible-datadog,decision_tree,0.82
oVirt/ovirt-ansible-disaster-recovery,random_forest,0.62
stackbuilders/sb-debian-base,svc,0.48
evrardjp/ansible-keepalived,decision_tree,0.93
cloudalchemy/ansible-node-exporter,decision_tree,0.86
HanXHX/ansible-nginx,decision_tree,0.67
viasite-ansible/ansible-role-zsh,logistic,0.82
lae/ansible-role-proxmox,decision_tree,0.65
HanXHX/ansible-debian-bootstrap,random_forest,0.77
nusenu/ansible-relayor,random_forest,0.92
DavidWittman/ansible-redis,random_forest,0.73
cloudalchemy/ansible-alertmanager,naive_bayes,0.76
aalaesar/install_nextcloud,svc,0.53
Oefenweb/ansible-postfix,decision_tree,0.99
caktus/tequila-django,decision_tree,0.94
ansible-community/ansible-vault,"logistic,svc,decision_tree,random_forest",0.89
florianutz/Ubuntu1804-CIS,decision_tree,0.74
dj-wasabi/ansible-telegraf,naive_bayes,0.71
rvm/rvm1-ansible,"logistic,decision_tree",0.62
cloudalchemy/ansible-blackbox-exporter,"naive_bayes,logistic,svc,decision_tree,random_forest",1.0
tulibraries/ansible-role-airflow,decision_tree,0.11
idealista/mysql_role,"decision_tree,random_forest",1.0
Graylog2/graylog-ansible-role,svc,0.38
mrlesmithjr/ansible-netdata,naive_bayes,0.78
willshersystems/ansible-sshd,decision_tree,1.0
idealista/consul_role,"logistic,decision_tree",1.0
ansible-lockdown/RHEL7-STIG,logistic,0.82
stone-payments/ansible-rabbitmq,"naive_bayes,logistic,svc,decision_tree,random_forest",1.0
naftulikay/ansible-role-degoss,naive_bayes,0.58
CSCfi/ansible-role-users,"naive_bayes,logistic,svc,decision_tree,random_forest",1.0
mrlesmithjr/ansible-manage-lvm,logistic,0.26
cloudalchemy/ansible-pushgateway,"naive_bayes,decision_tree,random_forest",1.0
antoiner77/caddy-ansible,"logistic,random_forest",0.6
idealista/nexus-role,"naive_bayes,svc",0.13
Oefenweb/ansible-supervisor,"logistic,svc,decision_tree,random_forest",0.88
kibatic/ansible-traefik,"decision_tree,random_forest",0.5
arillso/ansible.logrotate,"naive_bayes,logistic",0.12
m4rcu5nl/ansible-role-zerotier,"logistic,decision_tree,random_forest",1.0
fgci-org/ansible-role-cuda,naive_bayes,0.55
dokku/ansible-dokku,logistic,1.0
linux-system-roles/storage,"naive_bayes,logistic,svc,decision_tree,random_forest",0.0
florianutz/Ubuntu1604-CIS,"svc,decision_tree,random_forest",0.57
idealista/java_role,"decision_tree,random_forest",1.0
diodonfrost/ansible-role-mariadb,"naive_bayes,logistic,svc,decision_tree,random_forest",1.0
newrelic/infrastructure-agent-ansible,"decision_tree,random_forest",0.95
elastic/ansible-beats,svc,0.52
wcm-io-devops/ansible-conga-ansible-controlhost,"logistic,decision_tree,random_forest",0.68
stackhpc/ansible-role-os-images,"naive_bayes,logistic,svc,decision_tree,random_forest",1.0
infOpen/ansible-role-docker,decision_tree,0.0
stackhpc/ansible-role-libvirt-vm,"naive_bayes,logistic,svc,decision_tree,random_forest",0.22
nwoetzel/ansible-role-eclipse,"naive_bayes,logistic,svc,decision_tree,random_forest",0.67
mimacom/ansible-role-bamboo,"logistic,svc,decision_tree",1.0
AlexeySetevoi/ansible-clickhouse,"naive_bayes,logistic,decision_tree",1.0
hadret/ansible-role-containers,"naive_bayes,logistic,svc,decision_tree,random_forest",0.12
infOpen/ansible-role-fail2ban,"naive_bayes,decision_tree,random_forest",1.0
