,count,mean,std, min,25%,50%,75%,max
roc_auc,78,0.87,0.13,0.5,0.82,0.91,0.99,1.0
std_roc_auc,78,0.1,0.09,0.0,0.0,0.09,0.15,0.39
pr_auc,78,0.78,0.24,0.06,0.67,0.85,0.99,1.0
std_pr_auc,78,0.13,0.11,0.0,0.0,0.14,0.23,0.34
precision,78,0.66,0.26,0.0,0.52,0.68,0.87,1.0
std_precision,78,0.21,0.14,0.0,0.1,0.22,0.3,0.5
recall,78,0.83,0.21,0.0,0.76,0.9,1.0,1.0
std_recall,78,0.18,0.15,0.0,0.0,0.18,0.3,0.5
f1,78,0.68,0.24,0.0,0.52,0.72,0.87,1.0
std_f1,78,0.18,0.12,0.0,0.11,0.17,0.27,0.45
mcc,78,0.61,0.27,-0.06,0.45,0.67,0.84,1.0
std_mcc,78,0.23,0.15,0.0,0.13,0.22,0.32,0.69
